Name,Type,Description, Price ,Ingredients
Spicy New Potatoes,SIDES,,$3.95 ,"potatoes, olive oil, paprika, cayenne pepper, garlic powder, onion powder, salt, black pepper."
Cole Slaw,SIDES,,$3.95 ,"Cabbage, carrots, mayonnaise, vinegar, sugar, salt, pepper"
Potato Salad,SIDES,,$4.25 ,"Potatoes, mayonnaise, mustard, vinegar, celery, onion, salt, pepper, parsley"
Seasonal Vegetables,SIDES,,$5.25 ,"
Assorted seasonal vegetables, such as broccoli, carrots, cauliflower, zucchini, bell peppers, olive oil, salt, pepper."
Thin Fried Catfish,CHILDREN'S MENU,,$8.95 ,"catfish, flour, eggs, lemon, tartar sauce"
Fried Shrimp,CHILDREN'S MENU,,$8.95 ,"shrimp, garlic, butter, lemon, cocktail sauce"
Chicken Tenderloins,CHILDREN'S MENU,,$8.95 ,"chicken breast, seasoning, garlic, lemon"
House Made Banana Bread Pudding with Rum Sauce,DESSERTS,,$6.50 ,"Banana bread, eggs, milk, sugar, vanilla extract, rum, butter, cornstarch, water"
House Made German Chocolate Cake,DESSERTS,with Vanilla Ice Cream,$7.50 ,"Chocolate cake layers, coconut pecan frosting (coconut, pecans, sugar, butter, evaporated milk, vanilla extract), chocolate ganache"
House Made Chocolate Lava Cake,DESSERTS,Flourless Cake served with Vanilla Ice Cream,$7.50 ,"Chocolate, butter, sugar, eggs, vanilla extract, cocoa powder, salt, vanilla ice cream"
Raising a Ruckus,DESSERTS,"Chocolate Brownie topped with Vanilla Ice Cream, Elmer Chocolate Gold Brick Topping, Whipped Cream, Pecans, Chocolate Hazelnut Rolled Wafer",$8.00 ,"Chocolate brownie, vanilla ice cream, Elmer Chocolate Gold Brick Topping, whipped cream, pecans, chocolate hazelnut rolled wafer."
A Little Something Bad,DESSERTS,"Assorted Fruit, Vanilla and Strawberry Ice Cream, Whipped Cream, Chocolate Hazelnut Rolled Wafer",$7.25 ,"Assorted fruits, vanilla ice cream, strawberry ice cream, whipped cream, chocolate hazelnut rolled wafer."
Whatever Floats Your Boat,DESSERTS,barq's Root Beer Float,$7.25 ,"Vanilla ice cream, root beer"
Red Velvet Cheesecake,DESSERTS,,$6.75 ,"Red velvet cake base, cream cheese, sugar, eggs, vanilla extract, cocoa powder, buttermilk, vinegar, salt, cream cheese frosting"
White Chocolate Bourbon Pecan Pie,DESSERTS,,$6.50 ,"
Pie crust, pecans, white chocolate chips, bourbon, eggs, sugar, corn syrup, butter, vanilla extract, salt"
Key Lime Pie,DESSERTS,,$6.50 ,"Graham cracker crust, sweetened condensed milk, key lime juice, egg yolks, lime zest, whipped cream"
Good Old Fashioned Banana Split ,DESSERTS,,$8.00 ,"
Bananas, vanilla ice cream, chocolate ice cream, strawberry ice cream, chocolate syrup, strawberry syrup, pineapple topping, whipped cream, nuts (such as walnuts or almonds), cherries"
Pinocchio Eis,DESSERTS,Pinocchio look-alike sundae,$5.75 ,"
Vanilla ice cream, chocolate sauce, whipped cream, maraschino cherry"
Ice Cream - 2 Scoops,DESSERTS,"Vanilla, Chocolate",$5.75 ,"Vanilla ice cream, chocolate ice cream"
